cellline,drug,ic50,tissue
ACH-000070,176870,0.693305,ALL
ACH-000137,176870,2.580268,GBM
ACH-000008,176870,2.557837,SKCM
ACH-000740,176870,0.290013,HNSC
ACH-000697,176870,1.11025,DLBC
ACH-000157,176870,2.772212,DLBC
ACH-000105,176870,1.738326,ALL
ACH-000269,176870,3.510624,GBM
ACH-000838,176870,2.784917,MM
ACH-000245,176870,1.163577,DLBC
ACH-000927,176870,3.106225,BRCA
ACH-000432,176870,1.435513,LCML
ACH-000009,176870,1.729286,COAD/READ
ACH-000440,176870,3.076768,DLBC
ACH-000264,176870,3.109938,LUAD
ACH-000464,176870,3.586981,GBM
ACH-000136,176870,3.070973,NB
ACH-000249,176870,3.886257,COAD/READ
ACH-000641,176870,2.719367,LAML
ACH-000803,176870,1.804919,SCLC
ACH-000864,176870,3.64169,UCEC
ACH-000401,176870,3.213031,SKCM
ACH-000644,176870,3.101688,SKCM
ACH-000508,176870,3.53151,SCLC
ACH-000743,176870,3.92409,SCLC
ACH-000998,176870,3.094938,COAD/READ
ACH-000786,176870,2.308671,DLBC
ACH-000530,176870,3.752587,SCLC
ACH-000703,176870,2.187562,SCLC
ACH-000981,176870,2.838543,ALL
ACH-000056,176870,1.712166,DLBC
ACH-000258,176870,2.592616,BRCA
ACH-000225,176870,-2.286154,STAD
ACH-000305,176870,2.723788,ESCA
ACH-000038,176870,4.201712,CLL
ACH-000821,176870,2.603159,MM
ACH-000295,176870,3.127495,LCML
ACH-000198,176870,2.633193,LAML
ACH-000906,176870,2.632372,OV
ACH-000162,176870,-1.223787,DLBC
ACH-000738,176870,3.322689,GBM
ACH-000047,176870,-0.048492,STAD
ACH-000081,176870,2.730462,LAML
ACH-000756,176870,2.987478,LGG
ACH-000073,176870,3.086397,DLBC
ACH-000111,176870,3.189446,BRCA
ACH-000196,176870,3.158802,BRCA
ACH-000691,176870,1.430802,BRCA
ACH-000755,176870,3.390603,BRCA
ACH-000515,176870,3.392408,SCLC
ACH-000267,176870,2.803273,NA
ACH-000004,176870,0.832639,LAML
ACH-000861,176870,2.041091,LUAD
ACH-000914,176870,3.096472,DLBC
ACH-000151,176870,2.154091,DLBC
ACH-000326,176870,2.42115,LCML
ACH-000106,176870,3.175124,CLL
ACH-000346,176870,3.33282,CLL
ACH-000551,176870,2.514951,LCML
ACH-000231,176870,2.894932,LGG
ACH-000315,176870,3.188802,DLBC
ACH-000983,176870,2.278081,LCML
ACH-000386,176870,2.627108,LAML
ACH-000969,176870,2.794112,COAD/READ
ACH-000815,176870,2.503836,NA
ACH-001106,176870,2.112241,ALL
ACH-000074,176870,2.88923,LCML
ACH-000702,176870,2.640045,NA
ACH-000183,176870,2.812192,MM
ACH-000754,176870,3.12245,NA
ACH-000806,176870,2.43651,NA
ACH-000301,176870,2.178744,LCML
ACH-000104,176870,2.269758,ALL
ACH-000750,176870,2.92665,SKCM
ACH-000204,176870,2.540382,MM
ACH-000501,176870,1.536062,COAD/READ
ACH-000985,176870,2.549697,COAD/READ
ACH-000007,176870,-0.181512,COAD/READ
ACH-000438,176870,1.944082,NA
ACH-000787,176870,2.643914,LUAD
ACH-000935,176870,3.323416,COAD/READ
ACH-000439,176870,3.663477,LAML
ACH-000078,176870,3.472481,NB
ACH-000362,176870,1.144296,LAML
ACH-000745,176870,3.082648,MM
ACH-000006,176870,2.643769,LAML
ACH-000944,176870,2.37206,DLBC
ACH-000294,176870,2.362012,LAML
ACH-000514,176870,3.435183,SCLC
ACH-000327,176870,4.198994,LUAD
ACH-000766,176870,-3.132525,LUAD
ACH-000559,176870,2.717111,SCLC
ACH-000733,176870,2.108617,LUAD
ACH-000586,176870,2.661822,SCLC
ACH-000729,176870,2.519943,SCLC
ACH-000394,176870,3.797949,SCLC
ACH-000290,176870,1.595914,SCLC
ACH-000639,176870,3.213593,SCLC
ACH-000525,176870,2.883782,SCLC
ACH-000399,176870,3.400038,SCLC
ACH-000610,176870,3.575458,SCLC
ACH-000900,176870,3.333266,LUAD
ACH-000800,176870,3.22988,SCLC
ACH-000871,176870,2.765732,SCLC
ACH-000816,176870,2.899235,SCLC
ACH-000767,176870,2.605571,SCLC
ACH-000491,176870,3.852705,COAD/READ
ACH-000403,176870,1.215126,COAD/READ
ACH-000355,176870,1.649766,SCLC
ACH-000200,176870,1.014411,LGG
ACH-000168,176870,3.348916,LAML
ACH-000287,176870,2.53837,DLBC
ACH-000113,176870,1.842314,LAML
ACH-000336,176870,2.821117,LAML
ACH-000065,176870,2.370444,LAML
