cellline,drug,ic50,tissue
ACH-000078,10074640,3.222138,NB
ACH-000201,4263900,3.902426,SARC
ACH-000818,9952773,6.825627,BRCA
ACH-000294,9952773,3.339607,LAML
ACH-000910,53340664,2.462382,BRCA
ACH-000561,637858,1.465651,ESCA
ACH-000092,11640390,3.534012,MESO
ACH-000980,10096043,-1.276695,NA
ACH-000722,57339144,3.194381,COAD/READ
ACH-000315,31703,-1.616665,DLBC
ACH-000906,66577006,3.387365,OV
ACH-000587,9549184,-1.072508,LUAD
ACH-000410,5394,6.245562,SARC
ACH-000514,25167777,-2.024067,SCLC
ACH-000704,9813758,3.043206,OV
ACH-000856,10390396,1.603361,BRCA
ACH-000980,9813758,2.623212,NA
ACH-000473,46885626,-2.254959,BLCA
ACH-000287,6445562,-0.028165,DLBC
ACH-000697,5394,4.819735,DLBC
ACH-000969,49806720,2.845159,COAD/READ
ACH-000372,6914657,-6.572232,ALL
ACH-000702,11754511,3.224436,NA
ACH-001190,10461815,3.152591,SKCM
ACH-000380,9967941,4.392335,MM
ACH-000168,24756910,-1.375176,LAML
ACH-000223,11485656,2.724683,BRCA
ACH-000789,42640,3.626428,NA
ACH-000932,176167,1.355683,STAD
ACH-000270,9910224,6.467933,PAAD
ACH-000488,46224516,5.292331,ESCA
ACH-000432,16720766,-1.717775,LCML
ACH-000113,9911830,-0.735499,LAML
ACH-000843,3796,3.509812,LUSC
ACH-000536,66577006,5.717803,BRCA
ACH-000247,2726824,4.545865,STAD
ACH-000508,46191454,2.735162,SCLC
ACH-000309,9956222,2.416468,LUAD
ACH-000439,25102847,4.706762,LAML
ACH-000007,46843772,3.792426,COAD/READ
ACH-000546,25257557,5.366107,HNSC
ACH-000012,24889392,2.850905,LUAD
ACH-000290,6852167,1.294522,SCLC
ACH-000358,9910224,5.992625,SCLC
ACH-000501,44462760,4.553846,COAD/READ
ACH-000551,56962337,1.259944,LCML
ACH-000725,44551660,1.588409,BRCA
ACH-000059,60750,-5.458785,ALL
ACH-000670,11373846,4.97791,SCLC
ACH-000958,10074640,4.875824,COAD/READ
ACH-000323,25167777,-2.336036,GBM
ACH-000482,6852167,3.53044,LUAD
ACH-000269,5289247,1.815737,GBM
ACH-000963,3385,1.984638,COAD/READ
ACH-000505,11754511,1.609165,SARC
ACH-000859,10074640,2.688284,BRCA
ACH-000094,10109823,3.75566,PAAD
ACH-000341,24825971,3.886341,NB
ACH-000824,446378,-5.988179,ESCA
ACH-000364,3218,5.582098,SARC
ACH-000691,3062316,2.615923,BRCA
ACH-000960,447912,3.444551,ALL
ACH-000408,24756910,3.103849,ESCA
ACH-000607,44462760,3.746638,SARC
ACH-000024,5494449,1.24714,MM
ACH-000438,44632017,5.543756,NA
ACH-000295,10113978,3.496801,LCML
ACH-000023,11617559,4.806859,PAAD
ACH-000743,24825971,3.487409,SCLC
ACH-000059,25167777,-5.607223,ALL
ACH-000411,11634725,1.217216,KIRC
ACH-000336,10451420,2.658724,LAML
ACH-000913,31703,-4.509702,UCEC
ACH-000423,6753378,1.172997,SKCM
ACH-000440,6918638,-3.389888,DLBC
ACH-000483,9952773,3.483623,LIHC
ACH-000178,24889392,3.618795,PAAD
ACH-000162,10390396,0.309927,DLBC
ACH-000770,82146,3.575145,LAML
ACH-000978,11634725,3.854959,UCEC
ACH-000054,6445562,3.412749,SARC
ACH-000169,82146,3.601198,SARC
ACH-000911,5113032,5.905372,STAD
ACH-000223,5746,-0.606782,BRCA
ACH-000311,9810884,4.812593,LUAD
ACH-000161,31703,-1.908751,LUAD
ACH-000408,31703,-3.103109,ESCA
ACH-000748,9967941,4.633089,SARC
ACH-000665,42640,5.036216,LUSC
ACH-000903,3796,5.14345,THCA
ACH-000660,10027278,-0.082302,DLBC
ACH-000674,16747388,1.022085,STAD
ACH-000023,54676905,4.270886,PAAD
ACH-000722,54676905,6.137257,COAD/READ
ACH-000846,24889392,2.532673,HNSC
ACH-000948,9863776,1.287353,STAD
ACH-000932,44632017,4.271093,STAD
ACH-000396,10390396,2.531268,BLCA
ACH-000401,60750,-3.565489,SKCM
ACH-000322,10172943,-1.896781,SKCM
ACH-000617,54676905,5.052974,OV
ACH-000151,5494449,-0.456831,DLBC
ACH-000210,16720766,0.537413,SARC
ACH-000073,6918848,0.121793,DLBC
ACH-000104,10027278,2.280078,ALL
ACH-000806,10096043,-1.676686,NA
ACH-000822,11338033,1.923254,SKCM
ACH-000277,53340664,4.780811,BRCA
ACH-000294,25167777,-5.524438,LAML
ACH-000664,10109823,2.969988,NA
ACH-000374,2726824,4.278568,BRCA
ACH-000717,2726824,4.793277,ESCA
ACH-000713,42640,3.346028,OV
ACH-000221,10200390,0.243297,LIHC
ACH-000403,11640390,0.06911,COAD/READ
ACH-000871,3062316,0.951781,SCLC
ACH-000628,11485656,2.005974,LUAD
ACH-000305,16725726,5.044058,ESCA
ACH-000257,11617559,3.296373,SCLC
ACH-000349,6914657,-3.125835,BRCA
ACH-000416,10074640,4.091768,LUAD
ACH-000111,447912,3.806335,BRCA
ACH-000124,46931012,0.867262,DLBC
ACH-000965,53340664,2.209138,UCEC
ACH-000322,6852167,4.283925,SKCM
ACH-000254,16747388,4.409796,HNSC
ACH-000866,11634725,2.589597,SCLC
ACH-000353,76044,-0.151077,ESCA
ACH-000157,9903786,2.811199,DLBC
ACH-001190,10451420,5.781099,SKCM
ACH-000292,25124816,1.864942,SCLC
ACH-000528,25126798,4.751108,LUAD
ACH-000599,25167777,-4.868041,PAAD
ACH-000827,82146,4.081464,SKCM
ACH-000869,9956222,4.149651,LUAD
ACH-000978,447912,5.632073,UCEC
ACH-000181,6445562,-2.413008,HNSC
ACH-000248,9810884,3.560227,BRCA
ACH-000784,24951314,1.488116,ESCA
ACH-000934,6914657,1.619782,BRCA
ACH-000648,176167,4.155711,MESO
ACH-000351,44462760,4.025834,STAD
ACH-000330,24785538,2.154086,BRCA
ACH-000248,54676905,5.492876,BRCA
ACH-000288,44819241,4.276888,BRCA
ACH-000915,44819241,2.843378,SKCM
ACH-000148,11625818,5.912286,BRCA
ACH-000745,11493598,3.328599,MM
ACH-000905,60750,-1.23241,BLCA
ACH-000514,57339144,2.341763,SCLC
ACH-000118,54676905,4.541128,PAAD
ACH-000627,11707110,2.331951,NA
ACH-000248,3463933,0.100136,BRCA
ACH-000969,11493598,4.409299,COAD/READ
ACH-000559,24756910,-0.896867,SCLC
ACH-000893,5289247,5.364567,LUAD
ACH-000647,10461815,3.184409,ESCA
ACH-000060,6450816,-2.667288,PAAD
ACH-000893,10096043,-3.756833,LUAD
ACH-000355,3385,2.019222,SCLC
ACH-000425,24756910,0.243442,SKCM
ACH-000939,521106,3.550422,SARC
ACH-000841,3463933,0.666427,LUAD
ACH-000470,704473,6.396669,COAD/READ
ACH-000619,10390396,3.20994,HNSC
ACH-000565,11338033,3.368049,COAD/READ
ACH-000142,9863776,-0.321683,BLCA
ACH-000640,78243717,5.670902,SKCM
ACH-000372,9956222,1.392911,ALL
ACH-000641,49806720,2.115765,LAML
ACH-000078,11617559,5.8865,NB
ACH-000482,9868037,4.460475,LUAD
ACH-000827,53394750,5.823003,SKCM
ACH-000720,71271629,2.904831,BLCA
ACH-000478,53394750,5.90528,LIHC
ACH-000007,10451420,3.214168,COAD/READ
ACH-000153,10113978,4.929334,MESO
ACH-000939,11338033,1.140347,SARC
ACH-000018,46224516,5.412082,BLCA
ACH-000336,25102847,2.563734,LAML
ACH-000420,11640390,0.957923,LIHC
ACH-000596,46224516,1.901627,NA
ACH-000482,44462760,4.744657,LUAD
ACH-000841,5394,5.589763,LUAD
ACH-000456,42642645,-0.996455,THCA
ACH-000841,46224516,4.695394,LUAD
ACH-000353,66577006,4.262809,ESCA
ACH-000223,78243717,5.093559,BRCA
ACH-000514,9952773,3.860946,SCLC
ACH-000985,11338033,-1.084877,COAD/READ
ACH-000416,10200390,3.435636,LUAD
ACH-000186,11647372,3.585744,UNABLE TO CLASSIFY
ACH-000264,447912,4.845007,LUAD
