cellline,drug,ic50,tissue
ACH-000956,6914657,-1.457013,PRAD
ACH-000948,6914657,-5.820944,STAD
ACH-000323,6914657,-5.660507,GBM
ACH-000905,6914657,-0.893963,BLCA
ACH-000973,6914657,1.932023,BLCA
ACH-000896,6914657,-3.607188,BLCA
ACH-000070,6914657,-6.91455,ALL
ACH-000411,6914657,-3.225845,KIRC
ACH-000649,6914657,-4.043149,KIRC
ACH-001306,6914657,2.755924,THCA
ACH-001307,6914657,-3.850679,THCA
ACH-000137,6914657,-6.317498,GBM
ACH-000008,6914657,-1.227088,SKCM
ACH-000558,6914657,-5.715484,GBM
ACH-000201,6914657,-4.638781,SARC
ACH-000740,6914657,-3.193812,HNSC
ACH-000657,6914657,-6.378053,UNABLE TO CLASSIFY
ACH-000219,6914657,-5.103057,SKCM
ACH-000697,6914657,-6.038358,DLBC
ACH-000555,6914657,0.869781,KIRC
ACH-000157,6914657,-5.871726,DLBC
ACH-000681,6914657,-3.931653,LUAD
ACH-000052,6914657,-6.253356,SARC
ACH-000429,6914657,-0.687539,KIRC
ACH-000528,6914657,2.353102,LUAD
ACH-000046,6914657,-2.370213,KIRC
ACH-000105,6914657,-6.920602,ALL
ACH-000269,6914657,-5.061874,GBM
ACH-000838,6914657,-6.91933,MM
ACH-000222,6914657,-2.065586,PAAD
ACH-000456,6914657,-4.57729,THCA
ACH-000603,6914657,1.275979,UNABLE TO CLASSIFY
ACH-000802,6914657,-4.483291,BLCA
ACH-000792,6914657,-3.682546,KIRC
ACH-000191,6914657,-2.410631,THCA
ACH-000548,6914657,-1.190814,HNSC
ACH-000794,6914657,-1.668122,HNSC
ACH-000245,6914657,1.547868,DLBC
ACH-000536,6914657,1.751525,BRCA
ACH-000927,6914657,0.781023,BRCA
ACH-000818,6914657,3.47496,BRCA
ACH-000288,6914657,-1.341073,BRCA
ACH-000432,6914657,-6.734863,LCML
ACH-000535,6914657,-1.538853,PAAD
ACH-000009,6914657,0.026967,COAD/READ
ACH-000580,6914657,1.151905,SKCM
ACH-000440,6914657,-7.127272,DLBC
ACH-000210,6914657,2.686008,SARC
ACH-000433,6914657,-1.669139,KIRC
ACH-000212,6914657,-4.425989,BRCA
ACH-000826,6914657,-3.622634,UNABLE TO CLASSIFY
ACH-000832,6914657,-6.135777,HNSC
ACH-000142,6914657,-4.704025,BLCA
ACH-000518,6914657,-3.406556,HNSC
ACH-000856,6914657,-6.418767,BRCA
ACH-000457,6914657,0.721566,KIRC
ACH-000174,6914657,-5.544933,THCA
ACH-000857,6914657,-0.24555,BRCA
ACH-000392,6914657,-2.1281,LUAD
ACH-000264,6914657,-2.022659,LUAD
ACH-000783,6914657,0.485499,BRCA
ACH-000103,6914657,0.94134,OV
ACH-000107,6914657,-0.796633,PAAD
ACH-000464,6914657,0.331882,GBM
ACH-000329,6914657,-2.284805,GBM
ACH-000963,6914657,0.817357,COAD/READ
ACH-000138,6914657,-1.607525,PAAD
ACH-000867,6914657,-3.653848,UNABLE TO CLASSIFY
ACH-000136,6914657,-5.619578,NB
ACH-000120,6914657,-5.931184,NB
ACH-000249,6914657,-0.339176,COAD/READ
ACH-000895,6914657,0.364628,COAD/READ
ACH-000798,6914657,1.766381,COAD/READ
ACH-000641,6914657,-6.53377,LAML
ACH-000920,6914657,-6.435392,LCML
ACH-000803,6914657,2.200417,SCLC
ACH-000350,6914657,1.488443,COAD/READ
ACH-000805,6914657,-0.666289,SKCM
ACH-000717,6914657,0.889732,ESCA
ACH-000864,6914657,-4.549937,UCEC
ACH-000812,6914657,1.08267,SKCM
ACH-000968,6914657,-2.843174,SKCM
